City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
337,Oranjestad,AW,85.95,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
338,Mapiripan,CO,89.76,overcast clouds,2.8892,-72.1256,Monserrate
340,Kupang,ID,77.92,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
342,Sao Sebastiao,BR,79.09,overcast clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
343,Takoradi,GH,80.85,clear sky,4.8845,-1.7554,Raybow International Hotel
352,Vao,NC,79.9,light rain,-22.6667,167.4833,Hotel Kou-Bugny
363,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
373,Grand Baie,MU,81.07,light rain,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
377,Bacolod,PH,77.25,overcast clouds,10.6667,122.95,Planta Hotel & Residences
383,Mogadishu,SO,78.15,few clouds,2.0371,45.3438,Hotel Juba
394,Coahuayana,MX,85.48,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
397,Port-Gentil,GA,80.56,few clouds,-0.7193,8.7815,Fengshui Residence
399,Daru,PG,76.08,overcast clouds,-9.0763,143.2092,Daru Lodge
401,Poso,ID,76.59,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
402,Maracaibo,VE,88.77,clear sky,10.6317,-71.6406,Motel Aladdin
404,Trairi,BR,83.75,overcast clouds,-3.2778,-39.2689,janelas do mar
406,Pochutla,MX,88.83,clear sky,15.7432,-96.4661,Hotel Posada San Jose
408,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
409,Kavaratti,IN,79.05,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
410,Mfou,CM,76.86,haze,3.7159,11.6427,Maison Du Juge Noah
413,Sibu,MY,75.51,heavy intensity rain,2.3,111.8167,RH HOTEL (4 Star)
415,Bairiki,KI,80.6,light rain,1.3292,172.9752,Tarawa Boutique Hotel
419,Kismayo,SO,78.85,overcast clouds,-0.3582,42.5454,Agan-Hotel
426,Am Timan,TD,77.88,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
432,Tautira,PF,84.22,clear sky,-17.7333,-149.15,Pension Oaoa
435,Dedougou,BF,79.77,clear sky,12.4667,-3.4667,Hôtel Bon Séjour
438,Necochea,AR,78.04,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
440,Camocim,BR,82.99,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
449,Praia,CV,82.94,clear sky,14.9215,-23.5087,LT Aparthotel
450,San Borja,BO,87.94,broken clouds,-14.8167,-66.85,
452,Grand Gaube,MU,81.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
