City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
300,Manokwari,ID,-0.8667,134.0833,76.71,83,99,3.6,overcast clouds
301,Palmas De Monte Alto,BR,-14.2672,-43.1619,81.91,62,100,3.38,overcast clouds
302,Concarneau,FR,47.875,-3.9225,49.05,79,50,6.11,scattered clouds
303,Saldanha,ZA,-33.0117,17.9442,68.05,82,24,10.67,few clouds
304,Nouadhibou,MR,20.931,-17.0347,85.98,17,0,8.05,dust
305,Aswan,EG,24.0934,32.907,65.5,24,0,12.66,clear sky
306,Bluff,NZ,-46.6,168.3333,51.8,78,100,3.38,light rain
307,Omaruru,NA,-21.4333,15.9333,76.19,36,26,9.28,scattered clouds
308,Arlit,NE,18.7369,7.3853,63.07,14,0,13.62,clear sky
309,Bonthe,SL,7.5264,-12.505,83.62,65,2,12.59,clear sky
310,Baykit,RU,61.67,96.37,15.13,96,100,4.09,light snow
311,Touros,BR,-5.1989,-35.4608,86.9,67,69,14.61,broken clouds
312,El Retorno,CO,2.3302,-72.6276,90.82,40,100,4.92,overcast clouds
313,Kohtla-Jarve,EE,59.3986,27.2731,8.53,99,98,5.53,overcast clouds
314,Tabas,IR,33.5959,56.9244,50.61,32,100,1.43,overcast clouds
315,Alofi,NU,-19.0595,-169.9187,75.09,94,100,2.3,overcast clouds
316,Labuhan,ID,-6.8844,112.2051,76.84,88,100,8.01,overcast clouds
317,Assiniboia,CA,49.6334,-105.9845,3.02,72,100,16.11,overcast clouds
318,Kyra,RU,49.5776,111.9753,-11.58,94,6,5.55,clear sky
319,Port Hardy,CA,50.6996,-127.4199,42.76,93,100,13.8,light intensity drizzle
320,Homer,US,59.6425,-151.5483,35.49,75,100,9.22,light snow
321,Fare,PF,-16.7,-151.0167,80.62,73,9,18.05,clear sky
322,Severo-Kurilsk,RU,50.6789,156.125,29.62,87,100,8.03,light snow
323,Port Elizabeth,ZA,-33.918,25.5701,68.29,77,20,16.11,few clouds
